"Part";"Value";"Device";"Package";"Description";"COMPANY-URL";"CREATED-BY";"CREATED-DATE";"DATASHEET-URL";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"VALUE";"VENDOR";
"C1";"1nF";"1.0NF/1000PF-0603-50V-10%";"0603";"1nF/1,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-07886";"1nF";"";
"C2";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-11015";"10uF";"";
"C3";"1nF";"1.0NF/1000PF-0603-50V-10%";"0603";"1nF/1,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-07886";"1nF";"";
"C4";"100uF";"100UF-POLAR-25V-20%(ELEC)";"PANASONIC_D";"100µF polarized capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-12547";"100uF";"";
"C5";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"0.1uF";"";
"C7";"1nF";"1.0NF/1000PF-0603-50V-10%";"0603";"1nF/1,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-07886";"1nF";"";
"C8";"4.7uF";"4.7UF0603";"0603";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-08280";"4.7uF";"";
"C12";"dnp";"1.0NF/1000PF-0603-50V-10%";"0603";"1nF/1,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-07886";"1nF";"";
"C13";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"0.1uF";"";
"C15";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00868";"1.0uF";"";
"D1";"Blue";"WL-SMCW-150060BS75000-B";"WL-SMCW_0603";"SMD mono-color Chip LED";"http://www.we-online.de";"Christin Otto";"APR 2013";"http://katalog.we-online.de/en/led/WL-SMCW?m=t&sq=smcw&sp=&sp=http%3A%2F%2Fwww.we-online.de%2Fweb%2Fen%2Felectronic_components%2Fsearchpage_PBS.php%3Fsearch%3Dsmcw#vs_t2:2";"Würth Elektronik eiSos GmbH";"";"";"";"";"";"";"";"";
"D2";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"";"";"";"";"";"";"";"";"";"DIO-00821";"GREEN";"";
"IC1";"SI7020-A10-GM1";"SI7020-A10-GM1";"DFN6-3X3";"I2C Humidity and Temperature Sensor";"";"";"";"";"";"";"Silicon Labs";"Si7020-GM1";"2422565";"55X3108";"";"";"";
"IC2";"DRV8838";"DRV8838";"WSON8-2X2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC3";"CP2102";"CP2102";"MLP28";"Single-Chip USB to UART Bridge";"";"";"";"";"";"";"FARNELL";"CP2102-GM";"9282130";"30K5635";"";"";"";
"J1";"Batterie";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J2";"Motor";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J3";"";"693072010801";"693072010801";"WR-CRD MICRO SD CARD CONNECTOR HINGE 8PINS=>Code : Con_I-O_COM_CRD_SD_Micro_696072010801";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J4";"";"490107670612";"490107670612";"WR-WST REDFIT IDC, 6 Pins";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J5";"Display";"CONN_07";"1X07";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J6";"";"614105150721";"614105150721";"WR-COM_USB_Micro Type B_Vertical_THT;";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J7";"Solar";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q5";"BSH105";"MOSFET-NCH-AO3404A";"SOT23-3";"N-channel MOSFETs";"";"";"";"";"";"";"";"";"";"";"TRANS-12988";"5.8A/30V/35mO";"";
"Q6";"BSH105";"MOSFET-NCH-AO3404A";"SOT23-3";"N-channel MOSFETs";"";"";"";"";"";"";"";"";"";"";"TRANS-12988";"5.8A/30V/35mO";"";
"R1";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kO resistor";"";"";"";"";"";"";"";"";"";"";"RES-07828";"100k";"";
"R2";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kO resistor";"";"";"";"";"";"";"";"";"";"";"RES-00824";"10k";"";
"R3";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kO resistor";"";"";"";"";"";"";"";"";"";"";"RES-00824";"10k";"";
"R4";"12k";"12KOHM-0603-1/10W-1%";"0603";"12kO resistor";"";"";"";"";"";"";"";"";"";"";"RES-10327";"12k";"";
"R5";"12k";"12KOHM-0603-1/10W-1%";"0603";"12kO resistor";"";"";"";"";"";"";"";"";"";"";"RES-10327";"12k";"";
"R6";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kO resistor";"";"";"";"";"";"";"";"";"";"";"RES-07828";"100k";"";
"R7";"300";"300OHM-0603-1/10W-1%";"0603";"300O resistor";"";"";"";"";"";"";"";"";"";"";"RES_10328";"300";"";
"R8";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kO resistor";"";"";"";"";"";"";"";"";"";"";"RES-07828";"100k";"";
"R9";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kO resistor";"";"";"";"";"";"";"";"";"";"";"RES-07828";"100k";"";
"R10";"0";"10OHM-0603-1/10W-1%";"0603";"10O resistor";"";"";"";"";"";"";"";"";"";"";"RES-12581";"10";"";
"R11";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kO resistor";"";"";"";"";"";"";"";"";"";"";"RES-07828";"100k";"";
"R12";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kO resistor";"";"";"";"";"";"";"";"";"";"";"RES-07856";"1k";"";
"R13";"180";"10OHM-0603-1/10W-1%";"0603";"10O resistor";"";"";"";"";"";"";"";"";"";"";"RES-12581";"10";"";
"R14";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kO resistor";"";"";"";"";"";"";"";"";"";"";"RES-00824";"10k";"";
"R24";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kO resistor";"";"";"";"";"";"";"";"";"";"";"RES-00824";"10k";"";
"R25";"47k";"47KOHM-0603-1/10W-1%";"0603";"47kO resistor";"";"";"";"";"";"";"";"";"";"";"RES-07871";"47k";"";
"R26";"47k";"47KOHM-0603-1/10W-1%";"0603";"47kO resistor";"";"";"";"";"";"";"";"";"";"";"RES-07871";"47k";"";
"R27";"47k";"47KOHM-0603-1/10W-1%";"0603";"47kO resistor";"";"";"";"";"";"";"";"";"";"";"RES-07871";"47k";"";
"R28";"47k";"47KOHM-0603-1/10W-1%";"0603";"47kO resistor";"";"";"";"";"";"";"";"";"";"";"RES-07871";"47k";"";
"R29";"47k";"47KOHM-0603-1/10W-1%";"0603";"47kO resistor";"";"";"";"";"";"";"";"";"";"";"RES-07871";"47k";"";
"S1";"";"430181038816";"430181038816";"4.5x4.5 mm SMD WS-TASV";"";"";"";"";"";"";"";"";"";"";"";"";"";
"S2";"";"430181038816";"430181038816";"4.5x4.5 mm SMD WS-TASV";"";"";"";"";"";"";"";"";"";"";"";"";"";
"S3";"";"430181038816";"430181038816";"4.5x4.5 mm SMD WS-TASV";"";"";"";"";"";"";"";"";"";"";"";"";"";
"T1";"BCX70SMD";"BCX70SMD";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";
"T2";"BCX70SMD";"BCX70SMD";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$1";"SMD_3";"SMD_3";"SMD_3X1.28";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"ESP-WROOM-32";"ESP32MOD";"ESP32MOD";"ESP32 Module";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U2";"MCP73123-22SI/MF";"MCP73123-22SI/MF";"DFN10_3X3MC";"";"";"";"";"";"";"MCP7312322SIMF";"";"";"";"";"";"";"Microchip";
